City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
366,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
367,Brownwood,US,79.97,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
373,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
376,Aden,YE,86.85,broken clouds,12.7794,45.0367,Sama Emirate Hotel
377,Weligama,LK,85.87,scattered clouds,5.9667,80.4167,Weligama Bay Resort
380,Atar,MR,89.28,overcast clouds,20.5169,-13.0499,Oumou Elghoura
384,Hue,VN,82.51,heavy intensity rain,16.4667,107.6,Saigon Morin Hotel
388,Jalu,LY,75.09,clear sky,29.0331,21.5482,صاحبة الفخامة
389,Dakar,SN,79.68,moderate rain,14.6937,-17.4441,Novotel Dakar
398,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
401,Dongli,CN,87.78,few clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
403,Cilegon,ID,85.21,light rain,-6.0174,106.0538,Forbis Hotel
408,Bafq,IR,85.06,clear sky,31.6128,55.4107,Alamdar Hotel
415,Pinjaur,IN,75.65,overcast clouds,30.7972,76.9172,OYO 28153 Hotel Green Tree
418,Marsa Matruh,EG,75.99,clear sky,31.3525,27.2453,Beau Site
426,Baglung,NP,79.74,scattered clouds,28.2719,83.5898,Hotel Peace Palace
429,Camocim,BR,75.85,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
431,Sinnamary,GF,78.37,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
432,Caraballeda,VE,77.07,light rain,10.6112,-66.8522,Ole Caribe
433,Pizarro,CO,75.63,overcast clouds,4.9533,-77.366,Hotel Limonar
435,Isangel,VU,76.69,scattered clouds,-19.55,169.2667,Tanna Lodge
440,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
446,Ambilobe,MG,80.91,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
447,Dalbandin,PK,89.67,clear sky,28.8947,64.4101,Sanjrani House
451,Pratapgarh,IN,77.22,scattered clouds,24.0333,74.7833,Ratna Hotel
452,Jieshi,CN,82.69,scattered clouds,22.8134,115.8257,Yuehai Hotel
454,Namatanai,PG,84.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
455,Ranot,TH,87.66,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
457,Tengzhou,CN,80.35,broken clouds,35.0771,117.1518,GreenTree Inn ShanDong ZaoZhuang TengZhou Middle PingXing Road GuiHe Shell Hotel
458,Mardan,PK,86.36,clear sky,34.2019,72.0525,Post Graduate Hostel
460,Gazojak,TM,82.98,clear sky,41.1875,61.4036,
462,Fukue,JP,77.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
466,Tecoanapa,MX,75.7,overcast clouds,16.5167,-98.75,Hotel Manglares
468,Shuiji,CN,86.05,overcast clouds,27.4214,118.345,Century Hotel
470,Osmena,PH,83.86,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
472,Sur,OM,87.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
474,Taoudenni,ML,89.53,clear sky,22.6783,-3.9836,
