City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Thoen,TH,2022-09-21 17:17:05,17.6129,99.2161,74.52,98,100,1.14
157,Flinders,AU,2022-09-21 17:17:06,-34.5833,150.8552,62.38,90,100,4.0
158,Yokadouma,CM,2022-09-21 17:17:06,3.5167,15.05,72.07,95,99,2.37
159,Lamu,KE,2022-09-21 17:17:07,-2.2717,40.902,77.22,85,11,13.8
160,Dingle,PH,2022-09-21 17:17:07,10.9995,122.6711,75.63,90,91,3.2
161,Zhigalovo,RU,2022-09-21 17:17:08,54.8097,105.1578,31.95,95,89,3.87
162,East London,ZA,2022-09-21 17:17:08,-33.0153,27.9116,61.74,82,0,12.66
163,Ouallam,NE,2022-09-21 17:17:08,14.3188,2.0866,91.92,40,95,1.95
164,Saldanha,ZA,2022-09-21 17:17:09,-33.0117,17.9442,58.44,73,43,10.4
165,Husavik,IS,2022-09-21 17:17:09,66.0449,-17.3389,50.07,83,85,5.21
166,Todos Santos,MX,2022-09-21 17:17:10,23.45,-110.2167,81.66,85,58,3.94
167,Barsovo,RU,2022-09-21 17:17:10,61.1667,73.1667,57.33,68,4,12.95
168,Port Elizabeth,ZA,2022-09-21 17:13:24,-33.918,25.5701,64.09,87,0,13.8
169,Lagoa,PT,2022-09-21 17:14:47,39.05,-27.9833,74.05,81,67,12.03
170,Srednekolymsk,RU,2022-09-21 17:17:12,67.45,153.6833,35.55,95,100,8.37
171,Komsomolskiy,UZ,2022-09-21 17:17:12,40.4272,71.7189,74.12,35,50,6.91
172,Mathbaria,BD,2022-09-21 17:17:13,22.2876,89.9593,79.65,88,11,6.93
173,Nizwa,OM,2022-09-21 17:17:13,22.9333,57.5333,86.04,39,49,4.23
174,Paamiut,GL,2022-09-21 17:17:14,61.994,-49.6678,42.17,65,71,9.08
175,Hammond,US,2022-09-21 17:17:14,41.5834,-87.5,88.38,53,0,17.27
